# 人工重写的 emoji 读法（第二轮）：手势姿态、奇幻角色、动物、天气植物、食物饮品。
# 标准：简洁名走「明眼人会怎么称呼它」，详细档走「视觉信息 + 常见用法」。
#   1. 有公认中文叫法就用它，别改；2. 没有就用最能辨认的视觉特征造短名；
#   3. 不许重名；4. 简洁名不写含义；5. 含义一律写「常表示」，因为它依赖上下文。
# 由 Opus 5 分批生成，码位与字符对应、简洁名长度、重名均已逐条校验。
2600 FE0F	太阳	太阳：金黄圆日向四周射出光芒。常表示晴天、白天
1F407	兔子	兔子：白色兔子全身，侧面趴着，长耳朵
1F408	猫	猫：橘色猫全身，侧面行走，尾巴竖起
1F408 200D 2B1B	黑猫	黑猫：全黑的猫，全身，侧面行走，尾巴竖起
1F40E	马	马：棕色马全身，侧面奔跑，鬃毛飘起
1F40F	公羊	公羊：白色公羊全身，侧面，一对卷曲大角
1F410	山羊	山羊：白色山羊全身，侧面，有角有胡子。常表示球迷说的历史最佳
1F411	绵羊	绵羊：白色卷毛绵羊全身，侧面站立，没有角
1F412	猴子	猴子：棕色猴子全身，四肢着地，有长尾巴
1F413	公鸡	公鸡：彩色公鸡全身，红冠子，长尾羽
1F414	鸡	鸡：棕白色母鸡全身，侧面。常表示骂人菜，也有粗俗性暗示，看语气
1F415	狗	狗：棕色狗全身，侧面站立，尾巴上翘
1F415 200D 1F9BA	服务犬	服务犬：狗全身，穿蓝色工作马甲，侧面站立
1F416	猪	猪：粉色猪全身，侧面站立
1F417	野猪	野猪：深棕色野猪正面脸，嘴边两颗獠牙
1F418	大象	大象：灰色大象全身，侧面，长鼻子大耳朵
1F423	小鸡破壳	小鸡破壳：黄色小鸡从蛋壳里探出头，蛋壳裂开
1F424	小鸡	小鸡：黄色毛茸茸小鸡，侧面站着
1F425	正面小鸡	正面小鸡：黄色小鸡正面站着，两只小翅膀张开
1F426	鸟	鸟：蓝色小鸟侧面站着，橙色小嘴
1F426 200D 2B1B	黑鸟	黑鸟：全黑的小鸟侧面站着，橙黄色嘴
1F426 200D 1F525	凤凰	凤凰：红橙色的鸟展翅飞，身上带火焰
1F427	企鹅	企鹅：黑白企鹅全身，正面站着，橙色脚
1F428	考拉	考拉：灰色考拉正面脸，大绒耳朵，黑鼻子
1F429	贵宾犬	贵宾犬：白色卷毛狗全身，头顶和尾巴有蓬松毛球
1F42A	单峰骆驼	单峰骆驼：黄褐色骆驼全身，侧面，背上一个驼峰
1F42B	双峰骆驼	双峰骆驼：黄褐色骆驼全身，侧面，背上两个驼峰
1F42D	老鼠头	老鼠头：灰色老鼠正面脸，两只大圆耳朵
1F42E	奶牛头	奶牛头：黑白花奶牛正面脸，只有头。常表示夸人厉害，即牛
1F42F	老虎头	老虎头：橙黑条纹老虎正面脸，只有头
1F430	兔子头	兔子头：白色兔子正面脸，两只长耳朵立着
1F431	猫头	猫头：橘黄色猫正面脸，只有头，胡须张开
1F434	马头	马头：棕色马正面脸，只有头。常表示谐音骂人，粗俗
1F435	猴头	猴头：棕色猴子正面脸，只有头，没有身子
1F436	狗头	狗头：黄白色狗正面脸。常表示开玩笑反讽，即狗头保命
1F437	猪头	猪头：粉色猪正面脸，只有头。常表示骂人笨，也用来卖萌，看语气
1F439	仓鼠	仓鼠：浅棕色仓鼠正面脸，圆脸鼓腮
1F43A	狼	狼：灰色狼正面脸，只有头，耳朵尖立
1F43B	熊	熊：棕色熊正面脸，只有头，圆耳朵
1F43B 200D 2744 FE0F	北极熊	北极熊：白色熊正面脸，只有头，旁边有雪花
1F43C	熊猫	熊猫：黑白熊猫正面脸，黑眼圈，黑耳朵
1F43D	猪鼻子	猪鼻子：粉色猪鼻特写，两个鼻孔
1F43E	爪印	爪印：两个棕色动物脚掌印。常表示宠物、猫狗话题
1F43F FE0F	松鼠	松鼠：棕色松鼠全身，侧面，大蓬松尾巴翘起
1F47C	小天使	小天使：长着一对小翅膀、头顶金色光环的婴儿。常表示可爱、纯真
1F481	摊手介绍	摊手介绍：人物一手掌心朝上向前摊开。常表示介绍、指引、这边请
1F481 200D 2640 FE0F	摊手介绍女	摊手介绍女：长发女性一手掌心朝上向前摊开。常表示介绍、指引
1F481 200D 2642 FE0F	摊手介绍男	摊手介绍男：短发男性一手掌心朝上向前摊开。常表示介绍、指引
1F490	花束	花束：多枝彩色花扎成一捧，外裹包装。常表示祝贺、送礼
1F4A7	水滴	水滴：一颗蓝色水珠。常表示水、出汗
1F4AE	白花	白花：白色多瓣花朵图案，中心留白
1F525	火焰	火焰：橙红色跳动的火苗。常表示火爆、热门、厉害
1F52A	菜刀	菜刀：宽刃厨房刀，深色刀柄。常表示放狠话、开玩笑说砍人
1F54A FE0F	鸽子	鸽子：白色鸽子展翅飞，嘴里叼橄榄枝。常表示和平，也表示爽约放鸽子
1F645	打叉	打叉：人物双臂在胸前交叉成叉形。常表示拒绝、不行、打住
1F645 200D 2640 FE0F	打叉女	打叉女：长发女性双臂在胸前交叉成叉形。常表示拒绝、不行
1F645 200D 2642 FE0F	打叉男	打叉男：短发男性双臂在胸前交叉成叉形。常表示拒绝、不行
1F646	打勾	打勾：人物双臂举过头顶围成圆圈。常表示可以、没问题、同意
1F646 200D 2640 FE0F	打勾女	打勾女：长发女性双臂举过头顶围成圆圈。常表示可以、没问题
1F646 200D 2642 FE0F	打勾男	打勾男：短发男性双臂举过头顶围成圆圈。常表示可以、没问题
1F647	鞠躬	鞠躬：人物跪伏在地、低头，双手撑在身前。常表示道歉、拜托、感谢
1F647 200D 2640 FE0F	鞠躬女	鞠躬女：长发女性跪伏低头，双手撑在身前。常表示道歉、拜托
1F647 200D 2642 FE0F	鞠躬男	鞠躬男：短发男性跪伏低头，双手撑在身前。常表示道歉、拜托
1F64B	举手	举手：人物一只手高举过头。常表示我来、报到、有问题要问
1F64B 200D 2640 FE0F	举手女	举手女：长发女性一只手高举过头。常表示我来、报到、提问
1F64B 200D 2642 FE0F	举手男	举手男：短发男性一只手高举过头。常表示我来、报到、提问
1F64D	皱眉	皱眉：人物半身像，眉头下压、嘴角向下。常表示不满、失望
1F64D 200D 2640 FE0F	皱眉女	皱眉女：长发女性，眉头下压、嘴角向下。常表示不满、失望
1F64D 200D 2642 FE0F	皱眉男	皱眉男：短发男性，眉头下压、嘴角向下。常表示不满、失望
1F64E	撅嘴	撅嘴：人物半身像，眉头皱紧、嘴唇噘起。常表示不高兴、生闷气
1F64E 200D 2640 FE0F	撅嘴女	撅嘴女：长发女性，眉头皱紧、嘴唇噘起。常表示不高兴、生闷气
1F64E 200D 2642 FE0F	撅嘴男	撅嘴男：短发男性，眉头皱紧、嘴唇噘起。常表示不高兴、生闷气
1F926	捂脸	捂脸：人物一只手捂住额头、低着头。常表示无语、无奈、服了
1F926 200D 2640 FE0F	捂脸女	捂脸女：长发女性一手捂住额头、低着头。常表示无语、无奈
1F926 200D 2642 FE0F	捂脸男	捂脸男：短发男性一手捂住额头、低着头。常表示无语、无奈
1F936	圣诞奶奶	圣诞奶奶：白发老太太，戴红色尖帽、穿红衣。常表示圣诞节
1F937	摊手	摊手：人物耸肩，双手向两侧摊开、掌心朝上。常表示不知道、没办法
1F937 200D 2640 FE0F	摊手女	摊手女：长发女性耸肩，双手向两侧摊开。常表示不知道、没办法
1F937 200D 2642 FE0F	摊手男	摊手男：短发男性耸肩，双手向两侧摊开。常表示不知道、没办法
1F940	枯萎的花	枯萎的花：花头下垂，花瓣发暗脱落。常表示凋零、失落
1F942	香槟碰杯	香槟碰杯：两只高脚杯相碰，杯里是起泡香槟。常表示庆祝、祝贺
1F943	威士忌	威士忌：矮胖厚底玻璃杯，装琥珀色烈酒。常表示喝烈酒
1F944	勺子	勺子：一把银色汤匙
1F950	牛角包	牛角包：金黄色新月形的酥皮面包
1F951	牛油果	牛油果：绿色梨形果切成两半，中间一颗褐核
1F952	黄瓜	黄瓜：一根深绿色长黄瓜，表面有小疙瘩
1F953	培根	培根：两条红白相间的煎培根
1F954	土豆	土豆：褐色椭圆块茎，表面带芽眼
1F955	胡萝卜	胡萝卜：橙色锥形萝卜，顶上一丛绿缨
1F956	法棍	法棍：细长的褐色硬皮面包，表面几道斜口
1F957	沙拉	沙拉：碗里装着生菜、番茄等生蔬菜
1F958	一锅菜	一锅菜：浅口平底锅里装着虾、青豆等食材
1F959	皮塔卷	皮塔卷：对折的圆饼，夹着肉片和蔬菜
1F95A	鸡蛋	鸡蛋：一颗白色带壳的蛋
1F95B	牛奶	牛奶：透明玻璃杯装满白色牛奶
1F95C	花生	花生：剥开的花生壳，露出带红衣的花生仁
1F95D	猕猴桃	猕猴桃：切开半只，褐色毛皮，绿瓤黑籽
1F95E	松饼	松饼：三张圆饼叠起，顶上一块黄油和糖浆
1F95F	饺子	饺子：月牙形饺子，边缘捏出褶子
1F960	幸运饼干	幸运饼干：折起的金黄脆饼，夹出一张纸条。常表示求签、看运气
1F961	外卖盒	外卖盒：白色纸质提盒，印红色图案，顶部有铁丝提手
1F962	筷子	筷子：一双深色木筷并排
1F963	碗和勺	碗和勺：白碗里盛着浅色糊状食物，搭一把勺
1F964	饮料杯	饮料杯：红白相间的带盖纸杯，插一根吸管
1F965	椰子	椰子：褐色带毛的椰子，切开露出白色果肉
1F966	西兰花	西兰花：深绿色花球，下面一段粗茎
1F967	馅饼	馅饼：圆盘里烤好的金黄派，表面有花纹
1F968	扭结面包	扭结面包：褐色麻花状扭成结的烤饼，撒着粗盐
1F969	生肉	生肉：一块红色生肉，带白色油花和肥边
1F96A	三明治	三明治：两片吐司斜切，夹生菜、番茄和肉
1F96B	罐头	罐头：圆柱形金属罐，贴着红色标签
1F96C	绿叶菜	绿叶菜：一棵绿叶蔬菜，叶片舒展，根部发白
1F96D	芒果	芒果：红黄相间的椭圆果实，带一片绿叶
1F96E	月饼	月饼：金黄圆饼，表面压着花纹，切面露出蛋黄。常表示中秋
1F96F	贝果	贝果：中间带洞的环形面包，褐皮撒芝麻
1F981	狮子	狮子：金色狮子正面脸，一圈鬃毛，只有头
1F983	火鸡	火鸡：棕色火鸡全身，尾羽张开成扇形，红脖子
1F984	独角兽	独角兽：白色独角兽正面脸，彩虹色鬃毛，额前一只角
1F985	鹰	鹰：棕色老鹰侧面，白头黄钩嘴
1F986	鸭子	鸭子：白色鸭子侧面站着，黄嘴黄脚
1F987	蝙蝠	蝙蝠：深色蝙蝠正面，两只翅膀张开
1F989	猫头鹰	猫头鹰：棕色猫头鹰正面，两只大圆眼睛
1F98A	狐狸	狐狸：橙色狐狸正面脸，尖耳朵，白下巴
1F98C	鹿	鹿：棕色鹿正面脸，头顶一对分叉的角
1F98D	大猩猩	大猩猩：黑色大猩猩全身，体格粗壮
1F98F	犀牛	犀牛：灰色犀牛全身，侧面，鼻子上有角
1F992	长颈鹿	长颈鹿：黄底棕斑长颈鹿全身，脖子很长
1F993	斑马	斑马：黑白条纹斑马全身，侧面站立
1F994	刺猬	刺猬：棕色刺猬全身，背上一片尖刺
1F998	袋鼠	袋鼠：棕色袋鼠全身，侧面，后腿粗，尾巴大
1F999	羊驼	羊驼：浅棕色羊驼全身，脖子长，毛蓬松。常表示草泥马，粗俗玩笑
1F99A	孔雀	孔雀：蓝绿色孔雀开屏，尾羽展成扇形
1F99B	河马	河马：灰紫色河马全身，侧面，大嘴短腿
1F99C	鹦鹉	鹦鹉：绿红相间的鹦鹉，侧面站着，钩嘴
1F99D	浣熊	浣熊：灰色浣熊正面脸，眼睛周围有黑眼罩花纹
1F9A1	獾	獾：黑白相间的獾全身，头顶到背是白色
1F9A2	天鹅	天鹅：白色天鹅侧面游水，脖子弯成弧形
1F9A3	猛犸象	猛犸象：棕色长毛象全身，一对向上弯的长牙
1F9A4	渡渡鸟	渡渡鸟：灰色渡渡鸟全身，大钩嘴，翅膀很短
1F9A5	树懒	树懒：浅棕色树懒全身，抓着一根树枝，正面
1F9A6	水獭	水獭：棕色水獭全身，圆脸，尾巴粗
1F9A7	红毛猩猩	红毛猩猩：橙红色长毛猩猩全身，脸盘扁平
1F9A8	臭鼬	臭鼬：黑色臭鼬全身，背上一道白条纹，大尾巴
1F9A9	火烈鸟	火烈鸟：粉色火烈鸟站着，长腿，脖子弯
1F9AB	海狸	海狸：棕色海狸全身，两颗大门牙，扁尾巴
1F9AC	野牛	野牛：深棕色野牛全身，肩背高高隆起，长毛
1F9AE	导盲犬	导盲犬：黄色狗全身，戴导盲鞍具，侧面站立
1F9B8	超级英雄	超级英雄：人物穿紧身衣、披披风，胸前有标志。常表示厉害、救场
1F9B8 200D 2640 FE0F	女超级英雄	女超级英雄：长发女性穿紧身衣、披披风，胸前有标志。常表示厉害
1F9B8 200D 2642 FE0F	男超级英雄	男超级英雄：短发男性穿紧身衣、披披风，胸前有标志。常表示厉害
1F9B9	超级反派	超级反派：人物穿深色紧身衣、披披风，表情凶狠。常表示坏人、大反派
1F9B9 200D 2640 FE0F	女超级反派	女超级反派：长发女性穿深色紧身衣、披披风，表情凶狠。常表示坏人
1F9B9 200D 2642 FE0F	男超级反派	男超级反派：短发男性穿深色紧身衣、披披风，表情凶狠。常表示坏人
1F9C0	芝士	芝士：一块黄色三角奶酪，切面有孔洞
1F9C1	纸杯蛋糕	纸杯蛋糕：纸托里的小蛋糕，顶部挤奶油加樱桃
1F9C2	盐	盐：透明盐瓶倾倒，撒出一小堆白盐粒
1F9C3	饮料盒	饮料盒：方形纸质饮料盒，顶上插一根吸管
1F9C4	大蒜	大蒜：一整头白色蒜，带蒜皮和根须
1F9C5	洋葱	洋葱：一整颗洋葱，紫红外皮，底部根须。常表示催泪、想哭
1F9C6	炸豆丸子	炸豆丸子：几颗深褐色炸丸子，切开是绿芯
1F9C7	华夫饼	华夫饼：方格花纹的烤饼，中间放一块黄油
1F9C8	黄油	黄油：白碟上放着一块淡黄色黄油
1F9C9	马黛茶	马黛茶：葫芦形杯装绿色茶叶，插一根金属吸管
1F9CA	冰块	冰块：半透明的浅蓝方块
1F9CB	奶茶	奶茶：透明杯装浅褐奶茶，底部沉着黑珍珠，插粗吸管。常表示喝奶茶
1F9CC	巨魔	巨魔：大鼻子、乱头发、皮肤粗糙的丑陋巨怪。英文原名也指网上挑事的人
1F9CF	聋人	聋人：人物一手食指指向耳朵，是手语里的聋。常表示听不见
1F9CF 200D 2640 FE0F	女聋人	女聋人：长发女性一手食指指向耳朵，手语里的聋。常表示听不见
1F9CF 200D 2642 FE0F	男聋人	男聋人：短发男性一手食指指向耳朵，手语里的聋。常表示听不见
1F9D1 200D 1F384	圣诞人	圣诞人：不分男女的圣诞装扮人物，戴红色尖帽、穿红衣。常表示圣诞节
1F9D9	法师	法师：戴星星尖顶帽、穿长袍的人物，手上发出光
1F9D9 200D 2640 FE0F	女法师	女法师：长发女性，戴星星尖顶帽、穿长袍，手上发出光
1F9D9 200D 2642 FE0F	男法师	男法师：留胡子的男性，戴星星尖顶帽、穿长袍，手上发出光
1F9DA	仙子	仙子：背后一对透明翅膀的人物，手拿魔法棒
1F9DA 200D 2640 FE0F	仙女	仙女：长发女性，背后一对透明翅膀，手拿魔法棒。常表示小仙女、变美
1F9DA 200D 2642 FE0F	男仙子	男仙子：短发男性，背后一对透明翅膀，手拿魔法棒
1F9DB	吸血鬼	吸血鬼：脸色苍白、露出两颗尖牙，穿黑色高领斗篷
1F9DB 200D 2640 FE0F	女吸血鬼	女吸血鬼：长发女性，脸色苍白、露出尖牙，穿黑色高领斗篷
1F9DB 200D 2642 FE0F	男吸血鬼	男吸血鬼：短发男性，脸色苍白、露出尖牙，穿黑色高领斗篷
1F9DC	人鱼	人鱼：上半身是人、下半身是鱼尾的角色
1F9DC 200D 2640 FE0F	美人鱼	美人鱼：上半身是长发女性、下半身是鱼尾
1F9DC 200D 2642 FE0F	男人鱼	男人鱼：上半身是男性、下半身是鱼尾
1F9DD	精灵	精灵：尖耳朵、浅色长发、穿绿衣的奇幻角色
1F9DD 200D 2640 FE0F	女精灵	女精灵：尖耳朵的女性，浅色长发、穿绿衣
1F9DD 200D 2642 FE0F	男精灵	男精灵：尖耳朵的男性，浅色头发、穿绿衣
1F9DE	灯神	灯神：上半身是人、下半身是一缕青烟，双臂交抱，出自神灯传说
1F9DE 200D 2640 FE0F	女灯神	女灯神：上半身是女性、下半身是一缕青烟，双臂交抱
1F9DE 200D 2642 FE0F	男灯神	男灯神：上半身是男性、下半身是一缕青烟，双臂交抱
1F9DF	僵尸	僵尸：皮肤青绿、双臂向前伸直、身体歪斜的怪物
1F9DF 200D 2640 FE0F	女僵尸	女僵尸：青绿皮肤的长发女性怪物，双臂向前伸直、身体歪斜
1F9DF 200D 2642 FE0F	男僵尸	男僵尸：青绿皮肤的男性怪物，双臂向前伸直、身体歪斜
1FA90	土星	土星：紫色球体外围一圈斜环
1FAB4	盆栽	盆栽：褐色花盆里一株绿叶植物
1FAB6	羽毛	羽毛：一根灰白色羽毛，斜着放
1FAB7	莲花	莲花：粉白花瓣层层展开，下托绿叶
