# 人物与家庭类 emoji。组成完全编码在码位序列里，由脚本机械推导，无需模型判断。
# 这是重写前重名损失最集中的地方：25 个不同的家庭组合共用「家庭」一个名字。
1F476	婴儿	婴儿：一张婴儿的脸，头顶一撮头发
1F469 200D 2764 FE0F 200D 1F48B 200D 1F468	男女亲吻	男女亲吻：男女中间一颗心，正在接吻
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468	两男亲吻	两男亲吻：两男中间一颗心，正在接吻
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469	两女亲吻	两女亲吻：两女中间一颗心，正在接吻
1F491	情侣	情侣：两个人中间一颗红心。常表示情侣、恩爱
1F469 200D 2764 FE0F 200D 1F468	男女情侣	男女情侣：男女中间一颗红心。常表示情侣
1F468 200D 2764 FE0F 200D 1F468	两男情侣	两男情侣：两男中间一颗红心。常表示情侣
1F469 200D 2764 FE0F 200D 1F469	两女情侣	两女情侣：两女中间一颗红心。常表示情侣
1F468 200D 1F469 200D 1F466	爸妈和儿子	爸妈和儿子：一家三口，一位父亲和一位母亲，一个男孩
1F468 200D 1F469 200D 1F467	爸妈和女儿	爸妈和女儿：一家三口，一位父亲和一位母亲，一个女孩
1F468 200D 1F469 200D 1F467 200D 1F466	爸妈和一儿一女	爸妈和一儿一女：一家四口，一位父亲和一位母亲，一个女孩和一个男孩
1F468 200D 1F469 200D 1F466 200D 1F466	爸妈和两个儿子	爸妈和两个儿子：一家四口，一位父亲和一位母亲，两个男孩
1F468 200D 1F469 200D 1F467 200D 1F467	爸妈和两个女儿	爸妈和两个女儿：一家四口，一位父亲和一位母亲，两个女孩
1F468 200D 1F468 200D 1F466	两爸和儿子	两爸和儿子：一家三口，两位父亲，一个男孩
1F468 200D 1F468 200D 1F467	两爸和女儿	两爸和女儿：一家三口，两位父亲，一个女孩
1F468 200D 1F468 200D 1F467 200D 1F466	两爸和一儿一女	两爸和一儿一女：一家四口，两位父亲，一个女孩和一个男孩
1F468 200D 1F468 200D 1F466 200D 1F466	两爸和两个儿子	两爸和两个儿子：一家四口，两位父亲，两个男孩
1F468 200D 1F468 200D 1F467 200D 1F467	两爸和两个女儿	两爸和两个女儿：一家四口，两位父亲，两个女孩
1F469 200D 1F469 200D 1F466	两妈和儿子	两妈和儿子：一家三口，两位母亲，一个男孩
1F469 200D 1F469 200D 1F467	两妈和女儿	两妈和女儿：一家三口，两位母亲，一个女孩
1F469 200D 1F469 200D 1F467 200D 1F466	两妈和一儿一女	两妈和一儿一女：一家四口，两位母亲，一个女孩和一个男孩
1F469 200D 1F469 200D 1F466 200D 1F466	两妈和两个儿子	两妈和两个儿子：一家四口，两位母亲，两个男孩
1F469 200D 1F469 200D 1F467 200D 1F467	两妈和两个女儿	两妈和两个女儿：一家四口，两位母亲，两个女孩
1F468 200D 1F466	爸爸和儿子	爸爸和儿子：两口之家，一位父亲，一个男孩
1F468 200D 1F466 200D 1F466	爸爸和两个儿子	爸爸和两个儿子：一家三口，一位父亲，两个男孩
1F468 200D 1F467	爸爸和女儿	爸爸和女儿：两口之家，一位父亲，一个女孩
1F468 200D 1F467 200D 1F466	爸爸和一儿一女	爸爸和一儿一女：一家三口，一位父亲，一个女孩和一个男孩
1F468 200D 1F467 200D 1F467	爸爸和两个女儿	爸爸和两个女儿：一家三口，一位父亲，两个女孩
1F469 200D 1F466	妈妈和儿子	妈妈和儿子：两口之家，一位母亲，一个男孩
1F469 200D 1F466 200D 1F466	妈妈和两个儿子	妈妈和两个儿子：一家三口，一位母亲，两个男孩
1F469 200D 1F467	妈妈和女儿	妈妈和女儿：两口之家，一位母亲，一个女孩
1F469 200D 1F467 200D 1F466	妈妈和一儿一女	妈妈和一儿一女：一家三口，一位母亲，一个女孩和一个男孩
1F469 200D 1F467 200D 1F467	妈妈和两个女儿	妈妈和两个女儿：一家三口，一位母亲，两个女孩
1F9D1 200D 2764 FE0F 200D 1F9D1	两人情侣	两人情侣：两个人中间一颗红心，看不出性别。常表示情侣
1FAF1 200D 1FAF2	两手相握	两手相握：左右两只手侧立握在一起。常表示成交、合作
